Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type,Missing_Value_Code,header_count,associated_files
TOT_STREAM_SLOPE,percent,Mean stream slope pulled from National Hydrography Dataset; basin scale.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/nhd_yrb_D50_variable_updated.csv
turban,percent,Percent urban land cover pulled from National Hydrography Dataset; basin scale.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/nhd_yrb_D50_variable_updated.csv
Type,N/A,Image used in YOLO model.,text,column_header,"""N/A""; ""-9999""; """"; ""NA""",2,"/d50_computer_vision/data/d50_dd.csv, /d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv"
type,N/A,Image used in YOLO model.,text,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/250314_rc2_master.csv
Unit,N/A,Unit of measurement that applies to a given column or row in the data package.,text,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,"/d50_computer_vision/data/d50_dd.csv, dd template"
urban,percent,Precent urban land cover pulled from National Hydrography Dataset; catchment scale.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/nhd_yrb_D50_variable_updated.csv
Usage,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
Valid,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
width_m,meter,d50 based on particle widths.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_Train1_Prediction1_40.csv
Width_pixel,N/A,This header is not defined in this data package because it was not used in this analysis. Refer to the citations in the readme for the original source and definition.,N/A,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_TrainNone_ValidNone_TestNone_Predict3b_35.csv
YOLO,N/A,Image category: modeling; training; or prediction.,text,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_Train1_Prediction1_40.csv
YOLO_accuracy_percent,percent,Internal accuracy metric.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_Train1_Prediction1_40.csv
YOLO_box_number,count,Number of particles identified.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_Train1_Prediction1_40.csv
YOLO_threshold_percent,percent,Internal model classification threshold.,numeric,column_header,"""N/A""; ""-9999""; """"; ""NA""",1,/d50_computer_vision/data/d50_Train1_Prediction1_40.csv
